zenodo_deposition_id,country,title,doi,url,citation
10410902,Angola,Infrastructure Climate Resilience Assessment Data Starter Kit for Angola,10.5281/zenodo.10410902,https://zenodo.org/records/10410902,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Angola (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410902"
10410823,Argentina,Infrastructure Climate Resilience Assessment Data Starter Kit for Argentina,10.5281/zenodo.10410823,https://zenodo.org/records/10410823,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Argentina (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410823"
10410876,Burundi,Infrastructure Climate Resilience Assessment Data Starter Kit for Burundi,10.5281/zenodo.10410876,https://zenodo.org/records/10410876,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Burundi (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410876"
10410904,Benin,Infrastructure Climate Resilience Assessment Data Starter Kit for Benin,10.5281/zenodo.10410904,https://zenodo.org/records/10410904,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Benin (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410904"
10410934,Burkina Faso,Infrastructure Climate Resilience Assessment Data Starter Kit for Burkina Faso,10.5281/zenodo.10410934,https://zenodo.org/records/10410934,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Burkina Faso (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410934"
10410830,Bolivia,Infrastructure Climate Resilience Assessment Data Starter Kit for Bolivia,10.5281/zenodo.10410830,https://zenodo.org/records/10410830,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Bolivia (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410830"
10410908,Brazil,Infrastructure Climate Resilience Assessment Data Starter Kit for Brazil,10.5281/zenodo.10410908,https://zenodo.org/records/10410908,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Brazil (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410908"
10410819,Botswana,Infrastructure Climate Resilience Assessment Data Starter Kit for Botswana,10.5281/zenodo.10410819,https://zenodo.org/records/10410819,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Botswana (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410819"
10410926,Central African Republic,Infrastructure Climate Resilience Assessment Data Starter Kit for Central African Republic,10.5281/zenodo.10410926,https://zenodo.org/records/10410926,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Central African Republic (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410926"
10410906,Chile,Infrastructure Climate Resilience Assessment Data Starter Kit for Chile,10.5281/zenodo.10410906,https://zenodo.org/records/10410906,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Chile (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410906"
10410882,Ivory Coast,Infrastructure Climate Resilience Assessment Data Starter Kit for Ivory Coast,10.5281/zenodo.10410882,https://zenodo.org/records/10410882,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Ivory Coast (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410882"
10410930,Cameroon,Infrastructure Climate Resilience Assessment Data Starter Kit for Cameroon,10.5281/zenodo.10410930,https://zenodo.org/records/10410930,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Cameroon (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410930"
10410900,Democratic Republic of the Congo,Infrastructure Climate Resilience Assessment Data Starter Kit for Democratic Republic of the Congo,10.5281/zenodo.10410900,https://zenodo.org/records/10410900,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Democratic Republic of the Congo (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410900"
10410848,Republic of the Congo,Infrastructure Climate Resilience Assessment Data Starter Kit for Republic of the Congo,10.5281/zenodo.10410848,https://zenodo.org/records/10410848,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Republic of the Congo (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410848"
10410814,Colombia,Infrastructure Climate Resilience Assessment Data Starter Kit for Colombia,10.5281/zenodo.10410814,https://zenodo.org/records/10410814,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Colombia (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410814"
10410914,Djibouti,Infrastructure Climate Resilience Assessment Data Starter Kit for Djibouti,10.5281/zenodo.10410914,https://zenodo.org/records/10410914,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Djibouti (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410914"
10410894,Algeria,Infrastructure Climate Resilience Assessment Data Starter Kit for Algeria,10.5281/zenodo.10410894,https://zenodo.org/records/10410894,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Algeria (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410894"
10410890,Ecuador,Infrastructure Climate Resilience Assessment Data Starter Kit for Ecuador,10.5281/zenodo.10410890,https://zenodo.org/records/10410890,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Ecuador (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410890"
10410938,Egypt,Infrastructure Climate Resilience Assessment Data Starter Kit for Egypt,10.5281/zenodo.10410938,https://zenodo.org/records/10410938,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Egypt (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410938"
10410815,Eritrea,Infrastructure Climate Resilience Assessment Data Starter Kit for Eritrea,10.5281/zenodo.10410815,https://zenodo.org/records/10410815,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Eritrea (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410815"
10410845,Ethiopia,Infrastructure Climate Resilience Assessment Data Starter Kit for Ethiopia,10.5281/zenodo.10410845,https://zenodo.org/records/10410845,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Ethiopia (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410845"
10410920,Gabon,Infrastructure Climate Resilience Assessment Data Starter Kit for Gabon,10.5281/zenodo.10410920,https://zenodo.org/records/10410920,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Gabon (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410920"
10410866,Ghana,Infrastructure Climate Resilience Assessment Data Starter Kit for Ghana,10.5281/zenodo.10410866,https://zenodo.org/records/10410866,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Ghana (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410866"
10410837,Gibraltar,Infrastructure Climate Resilience Assessment Data Starter Kit for Gibraltar,10.5281/zenodo.10410837,https://zenodo.org/records/10410837,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Gibraltar (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410837"
10410833,Guinea,Infrastructure Climate Resilience Assessment Data Starter Kit for Guinea,10.5281/zenodo.10410833,https://zenodo.org/records/10410833,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Guinea (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410833"
10410918,Gambia,Infrastructure Climate Resilience Assessment Data Starter Kit for Gambia,10.5281/zenodo.10410918,https://zenodo.org/records/10410918,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Gambia (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410918"
10410932,Guinea-Bissau,Infrastructure Climate Resilience Assessment Data Starter Kit for Guinea-Bissau,10.5281/zenodo.10410932,https://zenodo.org/records/10410932,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Guinea-Bissau (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410932"
10410861,Equatorial Guinea,Infrastructure Climate Resilience Assessment Data Starter Kit for Equatorial Guinea,10.5281/zenodo.10410861,https://zenodo.org/records/10410861,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Equatorial Guinea (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410861"
10410829,French Guiana,Infrastructure Climate Resilience Assessment Data Starter Kit for French Guiana,10.5281/zenodo.10410829,https://zenodo.org/records/10410829,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for French Guiana (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410829"
10410864,Guyana,Infrastructure Climate Resilience Assessment Data Starter Kit for Guyana,10.5281/zenodo.10410864,https://zenodo.org/records/10410864,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Guyana (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410864"
10410874,Kenya,Infrastructure Climate Resilience Assessment Data Starter Kit for Kenya,10.5281/zenodo.10410874,https://zenodo.org/records/10410874,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Kenya (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410874"
10410872,Liberia,Infrastructure Climate Resilience Assessment Data Starter Kit for Liberia,10.5281/zenodo.10410872,https://zenodo.org/records/10410872,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Liberia (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410872"
10410916,Libya,Infrastructure Climate Resilience Assessment Data Starter Kit for Libya,10.5281/zenodo.10410916,https://zenodo.org/records/10410916,"Russell, T., Jaramillo, D., Nicholas, C., Thomas, F., Pant, R., & Hall, J. W. (2023). Infrastructure Climate Resilience Assessment Data Starter Kit for Libya (0.1.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.10410916"
